pmid,title,firstAuthor,authors,affiliations,link
42208598,Correction: Occupational Prenatal Radiation Exposure and Occupational Safety: Position Paper for Pregnant and breastfeeding Personnel in Interventional Procedures with Ionizing Radiation.,Becker Lena Sophie,Becker Lena Sophie; Stein Thomas; Frisch Anne; Dewald Cornelia Lieselotte Angelika; Blum Sophia Freya Ulrike; Wintergerst Charlotte; Torsello Giovanni; Peperhove Matti Jonas; Pöhler Gesa; Staudacher Emona; Franke Mareike; Tritt Stephanie; Westphalen Kerstin; Bruners Philipp; Rohde Stefan; Gebauer Bernhard; Das Marco; Jungnickel Kerstin; Fiebich Martin; Katoh Marcus; Paprottka Philipp; Uder Michael; Wacker Frank K; Uller Wibke,"Institute for Diagnostic and Interventional Radiology, Hannover Medical School, Hannover, Germany. | Department of Diagnostic and Interventional Radiology, Medical Center - University of Freiburg, Faculty of Medicine, University Freiburg, Germany. | Clinic for Radiology, CVK, Charité University Hospital Berlin, Berlin, Germany. | Institute and Polyclinic for Diagnostic and Interventional Radiology, University Hospital Carl Gustav Carus Dresden, Dresden, Germany. | Department of Clinical and Interventional Radiology, University Medical Center Göttingen, Gottingen, Germany. | Clinic for Radiology, University of Münster, Muenster, Germany. | Department of Diagnostic and Interventional Radiology, University Hospital RWTH Aachen, Aachen, Germany. | Radiology and Nuclear Medicine, Cantonal Hospital Lucerne, Lucerne, Switzerland. | Institute of Radiology and Neuroradiology, HELIOS Dr Horst Schmidt Hospitals, Wiesbaden, Germany. | Department of Diagnostic and Interventional Radiology, Academic hospital DRK Berlin Kopenick, Berlin, Germany. | Clinic for Radiology and Neuroradiology, Dortmund Clinic, Dortmund, Germany. | Department of Diagnostic Radiology, HELIOS Hospital Duisburg, Duisburg, Germany. | Institute for diagnostic and interventional radiology, University Hospital Magdeburg, Magdeburg, Germany. | Inst. of Medical Physics, University of Applied Sciences Giessen, Giessen, Germany. | Diagnostic and Interventional Radiology, Helios Klinikum Krefeld, Krefeld, Germany. | Department of Interventional Radiology, University Hospital Rechts der Isar, Munich, Germany. | Department of Radiology, Erlangen University Hospital, Erlangen, Germany.",https://pubmed.ncbi.nlm.nih.gov/42208598/
41973606,"Mykotoxine – Bestimmung von Aflatoxinen, Ochratoxin A, freiem Ochratoxin ",Berger Marion,Berger Marion; Deharde Max; Neuhoff Judith; Monien Bernhard; Siodlaczek Solveigh; Göen Thomas; Hartwig Andrea,"Bundesanstalt für Arbeitsschutz und Arbeitsmedizin (BAuA). Fachbereich 4 - Gefahrstoffe und biologische Arbeitsstoffe. Gruppe 4.2 - Medizinischer Arbeitsschutz. Biomonitoring Nöldnerstraße 40/42 10317 Berlin Deutschland. | Bundesinstitut für Risikobewertung. Fachgruppe 54 - Abt. Lebensmittelsicherheit Max-Dohrn-Straße 8-10 10589 Berlin Deutschland. | Friedrich-Alexander-Universität Erlangen-Nürnberg. Institut und Poliklinik für Arbeits-, Sozial- und Umweltmedizin Henkestraße 9-11 91054 Erlangen Deutschland. | Institut für Angewandte Biowissenschaften. Abteilung Lebensmittelchemie und Toxikologie. Karlsruher Institut für Technologie (KIT) Adenauerring 20a, Geb. 50.41 76131 Karlsruhe Deutschland.",https://pubmed.ncbi.nlm.nih.gov/41973606/
41971571,Cadmium und seine anorganischen Verbindungen – Addendum: Reevaluierung des BLWs: Beurteilungswerte in biologischem Material.,Hallier Ernst,Hallier Ernst; Drexler Hans; Hartwig Andrea,"37136 Ebergötzen Deutschland. | Friedrich-Alexander-Universität Erlangen-Nürnberg. Institut und Poliklinik für Arbeits-, Sozial- und Umweltmedizin Henkestraße 9-11 91054 Erlangen Deutschland. | Institut für Angewandte Biowissenschaften. Abteilung Lebensmittelchemie und Toxikologie. Karlsruher Institut für Technologie (KIT) Adenauerring 20a, Geb. 50.41 76131 Karlsruhe Deutschland.",https://pubmed.ncbi.nlm.nih.gov/41971571/
41971570,"Tri-(2-ethylhexyl)trimellitat – Bestimmung von 1-MEHTM, 2-MEHTM, 5OH-1-MEHTM, 5OH-2-MEHTM, 5cx-1-MEPTM und 5cx-2-MEPTM in Urin mittels LC-MS/MS: Biomonitoring-Methode.",Kuhlmann Laura,Kuhlmann Laura; Eckert Elisabeth; Höllerer-Mittelmaier Christine; Göen Thomas; Spindler Veronika; Scherer Gerhard; Sams Craig; Jones Kate; Hartwig Andrea,"Friedrich-Alexander-Universität Erlangen-Nürnberg. Institut und Poliklinik für Arbeits-, Sozial- und Umweltmedizin Henkestraße 9-11 91054 Erlangen Deutschland. | ABF Analytisch-biologisches Forschungslabor GmbH Semmelweisstraße 5 82152 Planegg Deutschland. | Health and Safety Executive (HSE) Science and Research Centre Harpur Hill SK17 9JN Buxton (Derbyshire) Vereinigtes Königreich. | Institut für Angewandte Biowissenschaften. Abteilung Lebensmittelchemie und Toxikologie. Karlsruher Institut für Technologie (KIT) Adenauerring 20a, Geb. 50.41 76131 Karlsruhe Deutschland.",https://pubmed.ncbi.nlm.nih.gov/41971570/
41971569,"Glaswolle, Halbwertszeit < 40 Tage (faserförmige und granuläre Bestandteile): MAK-Begründung.",Hartwig Andrea,Hartwig Andrea,"Institut für Angewandte Biowissenschaften. Abteilung Lebensmittelchemie und Toxikologie. Karlsruher Institut für Technologie (KIT) Adenauerring 20a, Geb. 50.41 76131 Karlsruhe Deutschland.",https://pubmed.ncbi.nlm.nih.gov/41971569/
41971564,"5-Ethyl-3,7-dioxa-1-azabicyclo[3.3.0]octan (EDAO): MAK-Begründung, Nachtrag.",Hartwig Andrea,Hartwig Andrea,"Institut für Angewandte Biowissenschaften. Abteilung Lebensmittelchemie und Toxikologie. Karlsruher Institut für Technologie (KIT) Adenauerring 20a, Geb. 50.41 76131 Karlsruhe Deutschland.",https://pubmed.ncbi.nlm.nih.gov/41971564/
41971561,"Trimellitsäureanhydrid: MAK-Begründung, Nachtrag.",Hartwig Andrea,Hartwig Andrea,"Institut für Angewandte Biowissenschaften. Abteilung Lebensmittelchemie und Toxikologie. Karlsruher Institut für Technologie (KIT) Adenauerring 20a, Geb. 50.41 76131 Karlsruhe Deutschland.",https://pubmed.ncbi.nlm.nih.gov/41971561/
41921923,[Correction: From Two to One - Techniques for One-lung Ventilation].,Weber Jonas,Weber Jonas; Defosse Jérôme Michel,"",https://pubmed.ncbi.nlm.nih.gov/41921923/
41688089,[Correction: Between health hazards and therapeutic hope: On the proper handling of psychotropic substances].,Klosterkötter Joachim,Klosterkötter Joachim; Kuhn Jens,"",https://pubmed.ncbi.nlm.nih.gov/41688089/
41586736,Anilin – Addendum: Reevaluierung des BAT-Wertes und Evaluierung einer Schwangerschaftsgruppe zum BAT-Wert: Beurteilungswerte in biologischem Material.,Brinkmann Britta,Brinkmann Britta; Bartsch Rüdiger; Michaelsen Sandra; Schriever-Schwemmer Gerlinde; Drexler Hans; Hartwig Andrea,"Institut für Angewandte Biowissenschaften. Abteilung Lebensmittelchemie und Toxikologie. Karlsruher Institut für Technologie (KIT) Adenauerring 20a, Geb. 50.41 76131 Karlsruhe Deutschland. | Friedrich-Alexander-Universität Erlangen-Nürnberg. Institut und Poliklinik für Arbeits-, Sozial- und Umweltmedizin Henkestraße 9-11 91054 Erlangen Deutschland.",https://pubmed.ncbi.nlm.nih.gov/41586736/
